Wall time,Step,Value
1555405831.7093189,1033,0.11053512990474701
1555405831.7801583,1035,0.02282450534403324
1555405831.8517148,1037,0.3493203818798065
1555405831.8860006,1038,0.02803543023765087
1555405831.9223268,1039,0.05234958976507187
1555405832.030259,1042,0.04107573255896568
1555405832.100709,1044,2.8326199054718018
1555405832.3521037,1051,0.6891230344772339
1555405832.3867443,1052,0.09149298071861267
1555405832.5285184,1055,0.735164999961853
1555405832.6556308,1057,0.03836188092827797
1555405832.8700883,1063,0.03894757479429245
1555405832.906735,1064,0.059472691267728806
1555405832.9777355,1066,0.33537691831588745
1555405833.0497322,1068,0.07511734217405319
1555405833.272772,1072,0.35440120100975037
1555405833.416727,1076,3.282916784286499
1555405833.4868007,1078,0.6460026502609253
1555405833.5585084,1080,0.2973652482032776
1555405833.6648161,1083,0.049989767372608185
1555405833.70171,1084,1.0222456455230713
1555405833.736701,1085,0.02379552274942398
1555405833.9873283,1092,0.031764399260282516
1555405834.0223303,1093,0.044069092720746994
1555405834.2369592,1099,2.963771104812622
1555405834.3086128,1101,0.0472673736512661
1555405834.3795185,1103,0.17078624665737152
1555405834.4274724,1104,0.0242557805031538
1555405834.4624097,1105,0.05916443094611168
1555405834.7842185,1114,0.15474355220794678
1555405834.8564227,1116,0.036580730229616165
1555405834.9622297,1119,0.02654649317264557
1555405835.1863034,1123,0.6175726056098938
1555405835.2577257,1125,0.17444396018981934
1555405835.2928996,1126,0.41120052337646484
1555405835.4353461,1130,0.03272011876106262
1555405835.4728937,1131,2.0441575050354004
1555405835.5438273,1133,0.07386844605207443
1555405835.5783684,1134,1.1386516094207764
1555405835.6150994,1135,0.09206324070692062
1555405835.7216744,1138,2.825016975402832
1555405835.7577531,1139,0.09933046996593475
1555405836.1160407,1149,0.6711629033088684
1555405836.1866903,1151,0.08597990870475769
1555405836.2214923,1152,0.050609659403562546
1555405836.3957684,1155,0.49955326318740845
1555405836.446326,1156,0.03573101758956909
1555405836.4797459,1157,0.023372892290353775
1555405836.5889683,1160,0.029799288138747215
1555405836.6232238,1161,0.059799645096063614
1555405836.6602826,1162,0.7663472294807434
1555405837.2756155,1177,0.04510926082730293
1555405837.383615,1180,0.07188195735216141
1555405837.455526,1182,0.028185972943902016
1555405837.4902375,1183,0.0974869504570961
1555405837.5613022,1185,0.0664885863661766
1555405837.5987616,1186,0.09305042028427124
1555405837.7039998,1189,0.09029226750135422
1555405837.8137739,1192,0.02078462392091751
1555405837.8469286,1193,0.7495630979537964
1555405837.884282,1194,0.10052964836359024
1555405837.9192648,1195,0.5848333835601807
1555405837.9914625,1197,1.2670644521713257
1555405838.1436083,1199,0.176039457321167
1555405838.3069978,1201,0.051008567214012146
1555405838.3880877,1203,0.059021297842264175
1555405838.4220295,1204,0.47187283635139465
1555405838.4938672,1206,0.0801653191447258
1555405838.565458,1208,0.8548576235771179
1555405838.6371891,1210,0.3904432952404022
1555405838.6738057,1211,0.05468378961086273
1555405838.7075374,1212,0.046447284519672394
1555405838.745065,1213,0.11264354735612869
1555405838.779672,1214,0.04292777553200722
1555405839.2183354,1224,0.06168937683105469
1555405839.3609703,1228,0.7301600575447083
1555405839.5033298,1232,0.08703895658254623
1555405839.5400395,1233,0.032783567905426025
1555405839.574517,1234,0.3756204843521118
1555405839.6462584,1236,0.04398161917924881
1555405839.754158,1239,2.8641321659088135
1555405839.895028,1242,0.32284706830978394
1555405839.9663239,1244,0.32373562455177307
1555405840.0724945,1247,0.38213109970092773
1555405840.1437895,1249,0.10996460914611816
1555405840.2870965,1253,0.07029810547828674
1555405840.3236675,1254,0.4214475452899933
1555405840.3581545,1255,0.022038141265511513
1555405840.4299474,1257,0.054097164422273636
1555405840.4672067,1258,2.1439449787139893
1555405840.572799,1261,0.03481293097138405
1555405840.6095111,1262,0.07373251020908356
1555405840.6442168,1263,0.0320601612329483
1555405840.6811225,1264,0.06839194148778915
1555405840.7524085,1266,0.17307071387767792
1555405840.9301457,1271,0.6242316365242004
1555405841.0384333,1274,0.12332652509212494
1555405841.295469,1279,0.37203875184059143
1555405841.3680837,1281,0.04420706629753113
1555405841.5115921,1285,0.14481201767921448
1555405841.5813227,1287,0.08002758771181107
1555405841.7252867,1291,0.02671157382428646
1555405841.761215,1292,1.2490131855010986
